title,rating
末代皇帝,9.3
龙猫,9.2
哈利·波特与魔法石,9.2
怦然心动,9.1
活着,9.3
蝙蝠侠：黑暗骑士,9.2
指环王3：王者无敌,9.3
我不是药神,9.0
乱世佳人,9.3
飞屋环游记,9.1
让子弹飞,9.0
哈尔的移动城堡,9.1
素媛,9.3
十二怒汉,9.4
海蒂和爷爷,9.3
猫鼠游戏,9.1
何以为家,9.1
天空之城,9.2
摔跤吧！爸爸,9.0
鬼子来了,9.3
少年派的奇幻漂流,9.1
钢琴家,9.3
指环王2：双塔奇兵,9.2
大话西游之月光宝盒,9.0
死亡诗社,9.2
哈利·波特与阿兹卡班的囚徒,9.0
小鞋子,9.2
飞越疯人院,9.1
沉默的羔羊,8.9
布达佩斯大饭店,8.9
蝴蝶效应,8.9
禁闭岛,8.9
致命魔术,8.9
心灵捕手,9.0
超脱,9.0
低俗小说,8.9
摩登时代,9.3
喜剧之王,8.8
哈利·波特与密室,8.9
春光乍泄,9.0
致命ID,8.9
杀人回忆,8.9
海豚湾,9.3
美国往事,9.1
一一,9.1
加勒比海盗,8.8
红辣椒,9.0
七宗罪,8.8
唐伯虎点秋香,8.7
狩猎,9.1
高山下的花环,9.5
遗愿清单,8.7
贫民窟的百万富翁,8.6
东邪西毒,8.6
你看起来好像很好吃,8.9
源代码,8.5
疯狂的麦克斯4：狂暴之路,8.7
可可西里,8.9
海边的曼彻斯特,8.6
城市之光,9.3
波西米亚狂想曲,8.6
芙蓉镇,9.3
黑天鹅,8.6
爱乐之城,8.4
花束般的恋爱,8.6
青蛇,8.6
初恋这件小事,8.5
终结者2：审判日,8.8
雨人,8.7
哈利·波特与死亡圣器(上),8.6
真爱至上,8.5
人工智能,8.7
白日梦想家,8.6
无耻混蛋,8.7
新龙门客栈,8.7
虎口脱险,8.9
恋恋笔记本,8.5
里斯本丸沉没,9.3
崖上的波妞,8.6
罗生门,8.8
千钧一发,8.8
彗星来的那一夜,8.6
大红灯笼高高挂,8.8
哈利·波特与凤凰社,8.5
黑客帝国2：重装上阵,8.7
火星救援,8.5
萤火虫之墓,8.7
奇迹男孩,8.6
二十二,8.7
战争之王,8.7
步履不停,8.8
千年女优,8.8
血钻,8.7
谍影重重2,8.7
房间,8.8
魂断蓝桥,8.8
蜘蛛侠：平行宇宙,8.6
弱点,8.7
谍影重重,8.6
隐藏人物,8.9
